Select,Keyword,channel_name
1,AccelPedalPos,J1939 - Accelerator Pedal Position (Engine)
,AccelPedalPos_1587,J1587 - Accelerator Pedal Position (Engine)
,Act_RetardPctTorqExh,J1939 - Actual Retarder - Percent Torque (Retarder; Exhaust; Engine #1)
,ATCEngCtl_1587,J1587 - ATC Engine Control (Brakes)
,AutoGearShiftEnabSwtch,J1939 - Automatic Gear Shifting Enable Switch (Engine)
,AuxHeatCoolPumpReq,J1939 - Auxiliary Heater Coolant Pump Request (Engine)
,AuxHeatModeReq,J1939 - Auxiliary Heater Mode Request (Engine)
,Ave_FuelEco,J1939 - Average Fuel Economy (Engine)
,Avg_FuelEco_1587,J1587 - Average Fuel Economy (Engine)
1,BarPres_Eng_1587,J1587 - Barometric Pressure (Engine)
,BatMainSwtchHldReq,J1939 - Battery Main Switch Hold Request (Engine)
,BatPotVEng,J1939 - Battery Potential (Voltage) (Engine)
,BatPotVEng_1587,J1587 - Battery Potential (Voltage) (Engine)
1,BoostPres,J1939 - Boost Pressure/Engine Intake Manifold #1 Pressure (Engine)
1,BoostPres_1587,J1587 - Boost Pressure (Engine)
,BrakeSwitch,J1939 - Brake Switch (Engine)
1,ClutchSwtch,J1939 - Clutch Switch (Engine)
1,CoolantLevel,J1939 - Coolant Level (Engine)
,Cylinder2EngRetStat_1587,J1587 - 2 Cylinder Engine Retarder Status (Engine)
,Cylinder3EngRetStat_1587,J1587 - 3 Cylinder Engine Retarder Status (Engine)
,Cylinder4EngRetStat_1587,J1587 - 4 Cylinder Engine Retarder Status (Engine)
,Cylinder6EngRetStat_1587,J1587 - 6 Cylinder Engine Retarder Status (Engine)
,Cylinder8EngRetStat_1587,J1587 - 8 Cylinder Engine Retarder Status (Engine)
,EngAltWindingTemp,J1939 - Engine Alternator Winding 2 Temperature (Alternator/Electrical Charging System)
,EngAutoStartEnabSwtch,J1939 - Engine Automatic Start Enable Switch (Engine)
1,EngCoolantTemp,J1939 - Engine Coolant Temperature (Engine)
1,EngCoolantTemp_1587,J1587 - Engine Coolant Temperature (Engine)
1,EngDesiredOpSpd,J1939 - Engine s Desired Operating Speed (Engine)
1,EngDmdPctTorq,J1939 - Engine Demand - Percent Torque (Engine)
1,EngLoad_1587,J1587 - Engine Load (Engine)
,EngMomOvrspdEn,J1939 - Engine Momentary Overspeed Enable (Transmission)
1,EngOilPres,J1939 - Engine Oil Pressure (Engine)
1,EngOilPres_1587,J1587 - Engine Oil Pressure (Engine)
1,EngPctLdAtCurSpd,J1939 - Engine Percent Load At Current Speed (Engine)
1,EngPctTorq,J1939 - Drivers Demand Engine - Percent Torque (Engine)
,EngRemPTOGovernorPreProgSpdCtrlSwtch,J1939 - Engine Remote PTO Governor Preprogrammed Speed Control Switch (Engine)
,EngRemPTOGovernorVarSpdCtrlSwtch,J1939 - Engine Remote PTO Governor Variable Speed Control Switch (Engine)
,EngRetarderStat_1587,J1587 - Engine Retarder Status (Engine)
,EngRetLvlSwtch_1587,J1587 - Engine Retarder Level Switch (Engine)
,EngRetSwtch_1587,J1587 - Engine Retarder Switch (Engine)
1,EngRtdPwr,J1939 - Engine Rated Power (Engine)
1,EngRtdSpeed,J1939 - Engine Rated Speed (Engine)
1,EngSpeed,J1939 - Engine Speed (Engine)
1,EngSpeed_1587,J1587 - Engine Speed (Engine)
1,FuelRate,J1939 - Fuel Rate (Instantaneous) (Engine)
1,FuelRate_1587,J1587 - Fuel Rate (Instantaneous) (Engine)
,HiResTotVehDist,J1939 - High Resolution Total Vehicle Distance (Engine)
,HiResTripDist,J1939 - High Resolution Trip Distance (Engine)
,IdleShutDwnTimerStatDriverAlertMode_1587,J1587 - Driver Alert Mode (Engine)
,IdleShutDwnTimerStatEngShtDwn_1587,J1587 - Engine has Shutdown by Idle Timer (Engine)
,IdleShutDwnTimerStatTimerFunc_1587,J1587 - Idle Shutdown Timer Function (Engine)
,IdleShutDwnTimerStatTimerOverride_1587,J1587 - Idle Shutdown Timer Override (Engine)
,IdleShutDwnTimeStat_1587,J1587 - Idle Shutdown Timer Status (Engine)
1,InjCtlPres,J1939 - Injection Control Pressure (Engine)
1,InjCtrlPres_1587,J1587 - Injection Control Pressure (Engine)
1,InpSftSp,J1939 - Input Shaft Speed (Transmission)
1,InstFuelEco,J1939 - Instantaneous Fuel Economy (Engine)
1,InstFuelEco_1587,J1587 - Instantaneous Fuel Economy (Engine)
1,IntManfTemp,J1939 - Intake Manifold Temperature (Engine)
1,IntManfTemp_1587,J1587 - Intake Manifold Temperature (Engine)
,NomFrict-PtcTorq,J1939 - Nominal Friction - Percent Torque (Engine)
,OpSeatDirSwtch,J1939 - Operator Seat Direction Switch (Engine)
,ParkBrkSwtchStatEng,J1939 - Parking Brake Switch Status (Engine)
1,PctEngLoad,J1939 - Actual Engine- Percent Torque (Engine)
,PrkBrkSwtchStat_1587,J1587 - Parking Brake Switch Status (Engine)
,ProgShftDisable,J1939 - Progressive Shift Disable (Transmission)
,PTOCoastSwtch_1587,J1587 - Power Takeoff Status - Coast Switch (Engine)
,PTOCtlSwt_1587,J1587 - Power Takeoff Status - PTO Control Switch (Engine)
,PTOGovernorAccelSwtch,J1939 - Engine PTO Governor Accelerate Switch (Engine)
,PTOGovernorCoastDecelSwtch,J1939 - Engine PTO Governor Coast/Decelerate Switch (Engine)
,PTOGovernorEnableSwtch,J1939 - Engine PTO Governor Enable Switch (Engine)
,PTOGovernorResSwtch,J1939 - Engine PTO Governor Resume Switch (Engine)
,PTOGovernorSetSwtchEng,J1939 - Engine PTO Governor Set Switch (Engine)
,PTOGovernorState,J1939 - PTO Governor State (Engine)
,PTOMode_1587,J1587 - Power Takeoff Status - PTO Mode (Engine)
,PTOResSwtch_1587,J1587 - Power Takeoff Status - Resume Switch (Engine)
,PTOSetSpeed_1587,J1587 - Power Takeoff Set Speed (Engine)
,PTOSetSwitch_1587,J1587 - Power Takeoff Status - Set Switch (Engine)
,PTOStatAccelSwtch_1587,J1587 - Power Takeoff Status - Accelerator Switch (Engine)
,PTOStatBrkSwtch_1587,J1587 - Power Takeoff Status - Brake Switch (Engine)
,PTOStatClutchSwtch_1587,J1587 - Power Takeoff Status - Clutch Switch (Engine)
,ReqEngZoneHeating,J1939 - Request Engine Zone Heating (Engine)
,ReqPctFanSpdEng,J1939 - Requested Percent Fan Speed (Engine)
,RetEnableBrkAsstSwtchRetExhaust,J1939 - Retarder Enable - Brake Assist Switch (Retarder; Exhaust; Engine #1)
,RetEnableShftAsstSwtchRetExhaust,J1939 - Retarder Enable - Shift Assist Switch (Retarder; Exhaust; Engine #1)
,RoadSpeedLimStat_1587,J1587 - Road Speed Limit Status (Engine)
1,RtdEngPwr_1587,J1587 - Rated Engine Power (Engine)
1,RtdEngSpeed_1587,J1587 - Rated Engine Speed (Engine)
,SeatBeltSwtch,J1939 - Seat Belt Switch (Engine)
,SourceAddCtrlDeviceTransCtrl,J1939 - Source Address of Controlling Device for Transmission Control (Transmission)
,TotalFuelUsed,J1939 - Total Fuel Used (Engine)
,TotalFuelUsed_1587,J1587 - Total Fuel Used (Engine)
,TotalIdleFuelUsed_1587,J1587 - Total Idle Fuel Used (Engine)
1,TotEngHrs,J1939 - Total Engine Hours (Engine)
1,TotEngHrs_1587,J1587 - Total Engine Hours (Engine)
,TotEngRevs,J1939 - Engine Total Revolutions (Engine)
,TotEngRevs_1587,J1587 - Total Engine Revolutions (Engine)
1,TotIdlHours_1587,J1587 - Total Idle Hours (Engine)
,TotPTOHrs,J1939 - Total PTO Hours (Engine)
,TotPTOHrs_1587,J1587 - Total PTO Hours (Engine)
,TotVehDist,J1939 - Total Vehicle Distance (Engine)
,TotVehDist2,J1587 - Total Vehicle Distance (Engine)
1,TranActGearRato,J1939 - Transmission Actual Gear Ratio (Transmission)
1,TransCurGear,J1939 - Transmission Current Gear (Transmission)
1,TransDrivEng,J1939 - Transmission Driveline Engaged (Transmission)
1,TransOilTemp,J1939 - Transmission Oil Temperature (Transmission)
1,TransOilTemp_1587,J1587 - Transmission Oil Temperature (Transmission)
1,TransOptShaftSpeedTrans_1587,J1587 - Transmission Output Shaft Speed (Transmission)
1,TransTorqConvLockupEngaged,J1939 - Transmission Torque Converter Lockup Engaged (Transmission)
,TrOutShaftSp,J1939 - Transmission Output Shaft Speed (Transmission)
1,TrRgAttai,J1939 - Transmission Range Attained (Transmission)
1,TrRgAttai_1587,J1587 - Transmission Range Attained (Transmission)
,TrRgSelec,J1939 - Transmission Range Selected (Transmission)
,TrRgSelec_1587,J1587 - Transmission Range Selected (Transmission)
1,TrSelGr,J1939 - Transmission Selected Gear (Transmission)
,TrShInProg,J1939 - Transmission Shift in Process (Transmission)
,VDCEngCtrl_1587,J1587 - VDC Engine Control (Brakes)
,VehLimSpdGovDecSwtch,J1939 - Vehicle Limiting Speed Governor Decrement Switch (Engine)
,VehLimSpdGovEnabSwtch,J1939 - Vehicle Limiting Speed Governor Enable Switch (Engine)
,VehLimSpdGovIncSwtch,J1939 - Vehicle Limiting Speed Governor Increment Switch (Engine)
1,VehSpeedEng,J1939 - Vehicle Speed (Engine)
1,VehSpeedEng_1587,J1587 - Vehicle Speed (Engine)
